Song Name,Singer,Genre,Duration (seconds),Listeners (million),Songwriter Count,Production Cost (thousand),Albums Made (number)
"Snowman","Sia ft. Sean Paul","Dance",211,340,2,15,2
"Mirage","OneRepublic","Pop",257,268,4,19,5
"Bad Liar","Imagine Dragons","Pop",204,175,3,19,4
"Afterglow","Ed Sheeran","Pop",259,1761,5,8,2
"Beautiful People","Ed Sheeran","Pop",263,175,1,11,3
"I’ll Never Love Again","Lady Gaga ft. Bradley Cooper","Country",216,768,3,16,2
"Cruel Summer","Taylor Swift","Country",236,974,2,7,4
"Jungle","The Chainsmokers ft. ROZES","Electronic",228,248,1,18,3
"Rockstar","DaBaby","Hip-hop/Rap",159,852,2,13,2
"Last Dance","BIGBANG","K-pop",217,475,1,9,4
"Heavydirtysoul","Twenty One Pilots","Alternative",195,12,1,14,5
"Thank u, next","Ariana Grande","Pop",178,962,5,8,3
"Chandelier","Sia","Dance",211,340,2,15,2
"Apologize","OneRepublic","Pop",257,275,4,19,5
"Enemy","Imagine Dragons","Pop",204,739,3,19,4
"Shivers","Ed Sheeran","Pop",259,284,5,8,2
"Perfect","Ed Sheeran","Pop",263,628,1,11,3
"Million Reason","Lady Gaga","Country",216,982,3,16,2
"You Belong With Me","Taylor Swift","Country",236,402,2,7,4
"All We Know","The Chainsmokers ft. ROZES","Electronic",228,975,1,18,3
"BOP","DaBaby","Hip-hop/Rap",159,1067,4,13,2
"If You","BIGBANG","K-pop",217,203,3,9,4
"Nico and the Niners","Twenty One Pilots","Alternative",195,1241,1,14,5
"Santa Tell Me","Ariana Grande","Pop",178,756,6,8,3
"Genius","Sia ft. Sean Paul","Dance",211,246,2,15,2
"Rich Love","OneRepublic","Pop",257,674,4,19,5
"Bones","Imagine Dragons","Pop",204,964,3,19,4
"The A Team","Ed Sheeran","Pop",259,132,5,8,2
"Dive","Ed Sheeran","Pop",263,137,1,11,3
"Stupid Love","Lady Gaga ft. Bradley Cooper","Country",216,357,3,16,2
"Blank Space","Taylor Swift","Country",236,268,2,7,4
"High","The Chainsmokers ft. ROZES","Electronic",228,345,1,18,3
"Ball if I Want To","DaBaby","Hip-hop/Rap",159,346,1,13,2
"Sunset Glow","BIGBANG","K-pop",217,274,3,9,4
"Ride","Twenty One Pilots","Alternative",195,272,1,14,5
"Yes, and?","Ariana Grande","Pop",178,843,2,8,3
"Gimme Love","Sia","Dance",211,358,2,15,2
"Love Runs Out","OneRepublic","Pop",257,247,4,19,5
"Warriors","Imagine Dragons","Pop",204,235,3,19,4
"Bad Habits","Ed Sheeran","Pop",259,843,5,8,2
"Give Me Love","Ed Sheeran","Pop",263,583,1,11,3
"Born This Way","Lady Gaga","Country",216,936,4,16,2
"Lover","Taylor Swift","Country",236,456,2,7,4
"Sick Boy","The Chainsmokers","Electronic",228,842,1,18,3
"Blame It On Baby","DaBaby","Hip-hop/Rap",159,942,4,13,2
"Loser","BIGBANG","K-pop",217,834,3,9,4
"Car Audio","Twenty One Pilots","Alternative",195,752,1,14,5
"7 Rings","Ariana Grande","Pop",178,472,5,8,3
"Courage to Change","Sia ft. Sean Paul","Dance",211,583,2,15,2
"Everybody Loves Me","OneRepublic","Pop",257,683,4,19,5
"Natural","Imagine Dragons","Pop",204,892,3,19,4
"Eyes Closed","Ed Sheeran","Pop",259,792,5,8,2
"Castle on The Hill","Ed Sheeran","Pop",263,963,1,11,3
"Bloody Mary","Lady Gaga ft. Bradley Cooper","Country",216,739,2,16,2
"Shake it Off","Taylor Swift","Pop",236,73,2,7,4
"Think of Us","The Chainsmokers ft. ROZES","Electronic",228,572,1,18,3
"Suge","DaBaby","Hip-hop/Rap",159,574,1,13,2
"Sober","BIGBANG","K-pop",217,247,3,9,4
"Tear in My Heart","Twenty One Pilots","Alternative",195,1231,1,14,5
"Side to Side","Ariana Grande","Pop",178,46,6,8,3
"Helium","Sia","Dance",211,49,2,15,2
"Rescue Me","OneRepublic","Pop",257,437,4,19,5
"Follow You","Imagine Dragons","Pop",204,573,3,19,4
"Overpass Gravity","Ed Sheeran","Pop",259,752,4,8,2
"Nancy Mulligan","Ed Sheeran","Pop",263,956,1,11,3
"Sour Candy","Lady Gaga ft. Bradley Cooper","Country",216,247,3,16,2
"Look What You Made Me Do","Taylor Swift","Country",236,930,2,7,4
"Beach House","The Chainsmokers ft. ROZES","Electronic",228,307,1,18,3

